,0,Stato
0,26.084468146443943,Oregon
1,27.52764702815101,Oregon
2,29.213600348312816,Oregon
3,29.941163818664627,Oregon
4,28.660504404361824,Oregon
5,26.466221007630235,Oregon
6,25.542106176901374,Oregon
7,26.402744617939025,Oregon
8,27.530703116175548,Oregon
9,25.81875429279715,Oregon
10,25.245216034031504,Oregon
11,26.849431220910645,Oregon
12,28.844689332536472,Oregon
13,25.336789897774697,Oregon
14,27.245558562584,Oregon
15,27.805265773328394,Oregon
16,26.32715850942249,Oregon
17,28.12203356952974,Oregon
18,28.805440668211183,Oregon
19,27.016968414088392,Oregon
20,28.20757902700445,Oregon
21,26.300545643559538,Oregon
22,29.985003758700746,Oregon
23,25.972726905924013,Oregon
24,28.185536007879097,Oregon
25,25.730218780287295,Oregon
26,28.601841661981904,Oregon
27,27.89423137340046,Oregon
28,28.295012278204325,Oregon
29,25.802852202254478,Oregon
30,29.5730360596161,Oregon
31,27.722965293581154,Oregon
32,27.534151900843504,Oregon
33,27.249992125977847,Oregon
34,25.876638292587785,Oregon
35,26.064811853766678,Oregon
36,25.0037541654743,Oregon
37,25.267146900798412,Oregon
38,27.76950284451039,Oregon
39,29.452660361578694,Oregon
40,27.12300517047217,Oregon
41,25.66001074884755,Oregon
42,26.30711288343553,Oregon
43,28.868786262416272,Oregon
44,27.667864067508695,Oregon
45,29.678600471365662,Oregon
46,27.636820258110607,Oregon
47,26.442047419905535,Oregon
48,25.894480957738914,Oregon
49,25.54739842586367,Oregon
50,27.592982355819913,Oregon
51,28.16832312873773,Oregon
52,27.535632612356306,Oregon
53,29.255422528022898,Oregon
54,25.730298095456547,Oregon
55,25.369887136410163,Oregon
56,27.83585428933759,Oregon
57,26.678626341941296,Oregon
58,29.405230819928153,Oregon
59,26.22231827228955,Oregon
60,29.226456574686644,Oregon
61,27.76647275575504,Oregon
62,29.417946250992106,Oregon
63,27.75850464786812,Oregon
64,28.16273749196222,Oregon
65,27.11179515144727,Oregon
66,29.05748215252654,Oregon
67,28.078656400991807,Oregon
68,26.424438579701956,Oregon
69,25.83528211396658,Oregon
70,29.40043656209296,Oregon
71,29.982406840285517,Oregon
72,29.37844802932119,Oregon
73,28.4266107522865,Oregon
74,28.913276348979007,Oregon
75,27.545109205303213,Oregon
76,25.556609847020848,Oregon
77,27.889681345990407,Oregon
78,26.505894559022725,Oregon
79,28.485422342950127,Oregon
80,27.464148531434574,Oregon
81,29.45317011078499,Oregon
82,27.068380037686893,Oregon
83,26.39641288664419,Oregon
84,26.051022889658213,Oregon
85,27.928906635532282,Oregon
86,27.13639025994162,Oregon
87,29.87100176352898,Oregon
88,29.99788712505493,Oregon
89,25.870039328378027,Oregon
90,28.537410105913487,Oregon
91,27.4639756662576,Oregon
92,29.24440242949428,Oregon
93,27.064412217475848,Oregon
94,29.211345236987967,Oregon
95,27.11816872323483,Oregon
96,26.383294969081316,Oregon
97,28.385682007365972,Oregon
98,29.320812956557788,Oregon
99,27.454028317518514,Oregon
100,27.148235912317382,Oregon
101,28.884083176992256,Oregon
102,28.713614520597268,Oregon
103,27.352656931590943,Oregon
104,27.986287110356088,Oregon
105,25.676618934141892,Oregon
106,27.06499139268842,Oregon
107,28.335551472987035,Oregon
108,28.276979982012335,Oregon
109,28.506719799111803,Oregon
110,26.965274632176694,Oregon
111,29.16432264987084,Oregon
112,28.027751926167856,Oregon
113,27.797262770128892,Oregon
114,27.047181819626687,Oregon
115,29.74092432341881,Oregon
116,26.74680596626648,Oregon
117,27.765432578175595,Oregon
118,26.49051634486802,Oregon
119,26.77267696202036,Oregon
120,25.174417175626512,Oregon
121,27.918464619624398,Oregon
122,28.49556765972217,Oregon
123,26.123585761337104,Oregon
124,27.896920514446027,Oregon
125,27.540238894466892,Oregon
126,27.776640094806456,Oregon
127,27.84275288406726,Oregon
128,28.538375922971635,Oregon
129,25.547126102801755,Oregon
130,27.152718613670967,Oregon
131,29.001536098653865,Oregon
132,28.06272304970419,Oregon
133,27.48029172647899,Oregon
134,29.7030349356732,Oregon
135,29.413946307378243,Oregon
136,29.42884217695124,Oregon
137,25.142693074444402,Oregon
138,29.34665910141178,Oregon
139,29.856305092106254,Oregon
140,25.421831218604307,Oregon
141,28.561324676745645,Oregon
142,27.60887047593627,Oregon
143,25.062819069921265,Oregon
144,29.567325636873022,Oregon
145,28.2379731131271,Oregon
146,26.55979589761301,Oregon
147,26.68079384955317,Oregon
148,28.249387077076904,Oregon
149,25.742604498811005,Oregon
150,28.322842262747983,Oregon
151,25.131840521642236,Oregon
152,26.5738372221861,Oregon
153,28.60270243457843,Oregon
154,28.89864111109454,Oregon
155,25.30866105234395,Oregon
156,29.883839808145616,Oregon
157,25.516028536043457,Oregon
158,29.178516577684768,Oregon
159,26.13186190636673,Oregon
160,25.011746499588586,Oregon
161,28.445732496837458,Oregon
162,27.949976536450276,Oregon
163,28.839577010946474,Oregon
164,26.26624223321233,Oregon
165,26.923341637586418,Oregon
166,27.97292864913214,Oregon
167,29.974432871029443,Oregon
168,28.01435128307414,Oregon
169,25.104175463224077,Oregon
170,27.595624515710277,Oregon
171,26.210929918689562,Oregon
172,26.76370124915058,Oregon
173,28.325681263074504,Oregon
174,26.360102031522352,Oregon
175,29.46220186536263,Oregon
176,29.512574973529922,Oregon
